Data	Concentra_up	Concentra_down
5/7/2015	18.17	39.28
5/8/2015	15.28	44.42
5/9/2015	11.54	39.00
5/10/2015	8.29	26.81
5/11/2015	6.85	22.09
5/12/2015	8.57	33.03
5/13/2015	14.76	38.91
5/14/2015	25.13	55.55
5/15/2015	32.79	49.85
5/16/2015	31.63	58.86
5/17/2015	25.11	48.34
5/18/2015	19.11	40.78
5/19/2015	17.78	49.08
5/20/2015	18.40	45.27
5/21/2015	17.77	49.88
5/22/2015	17.57	33.59
5/23/2015	20.00	15.19
5/24/2015	24.39	14.94
5/25/2015	29.35	15.32
5/26/2015	33.04	17.27
5/27/2015	31.68	19.19
5/28/2015	23.19	22.56
5/29/2015	14.01	27.10
5/30/2015	10.81	29.99
5/31/2015	12.54	43.23
6/1/2015	16.22	25.04
6/2/2015	18.87	25.40
6/3/2015	18.43	31.24
6/4/2015	16.50	29.69
6/5/2015	15.21	39.69
6/6/2015	15.05	50.96
6/7/2015	16.13	50.81
6/8/2015	18.54	45.17
6/9/2015	22.37	49.68
6/10/2015	27.74	27.87
6/11/2015	33.74	26.59
6/12/2015	35.53	18.89
6/13/2015	29.44	27.10
6/14/2015	20.50	25.52
6/15/2015	15.92	36.59
6/16/2015	19.82	34.49
6/17/2015	23.99	38.68
6/18/2015	20.48	42.22
6/19/2015	14.64	25.06
6/20/2015	13.30	40.35
6/21/2015	15.88	34.67
6/22/2015	19.92	41.03
6/23/2015	23.00	34.79
6/24/2015	23.40	30.98
6/25/2015	22.35	45.54
6/26/2015	21.44	49.36
6/27/2015	20.78	58.91
6/28/2015	20.13	50.01
6/29/2015	19.24	19.85
6/30/2015	17.93	22.69
7/1/2015	16.37	38.53
7/2/2015	14.79	40.15
7/3/2015	13.49	44.03
7/4/2015	12.69	38.07
7/5/2015	12.40	82.80
7/6/2015	12.56	34.87
7/7/2015	13.12	56.13
7/8/2015	14.02	25.79
7/9/2015	15.20	16.58
7/10/2015	16.61	12.99
7/11/2015	18.18	17.47
7/12/2015	19.88	19.52
